id,device_id,manufacturer,event_type,longitude,latitude,iot_signal_1,iot_signal_3,iot_signal_4,cell_tower_failure
1442,0x1000000000005,TelecomWorld,system malfunction,-83.36839,51.839607,3,51,104,1
1443,0x100000000001d,TelecomWorld,battery 10%,-83.5835,51.63195,9,52,103,0
1444,0x1000000000008,TelecomWorld,battery 10%,-82.96166,51.69589,6,54,103,0
1445,0x100000000001b,NewComm,battery 10%,-83.07114,51.62322,2,53,105,0
1446,0x1000000000014,TelecomWorld,battery 10%,-83.60665,51.69782,10,55,102,1
1447,0x100000000001c,MyCellular,device error,-83.565475,51.59806,3,50,105,0
1448,0x1000000000005,TelecomWorld,system malfunction,-83.2969,51.61496,2,50,102,1
1449,0x100000000000b,TelecomWorld,device error,-83.343025,51.712807,5,54,102,0
1450,0x1000000000024,NewComm,battery 10%,-83.35854,51.94003,6,53,107,0
1451,0x1000000000009,NewComm,battery 10%,-83.24187,51.68391,7,53,104,0
1452,0x1000000000025,MyCellular,device error,-83.3894,51.777218,5,55,106,0
1453,0x1000000000001,MyCellular,battery 10%,-83.00247,51.9666,3,51,103,0
1454,0x1000000000020,TelecomWorld,system malfunction,-83.335236,51.750683,8,53,106,0
1455,0x1000000000017,TelecomWorld,battery 5%,-83.103035,51.89745,4,52,105,0
1456,0x1000000000022,MyCellular,battery 10%,-83.58784,51.676296,9,54,104,0
1457,0x1000000000004,MyCellular,battery 10%,-83.42561,51.70567,8,51,101,0
1458,0x100000000001e,NewComm,device error,-83.584724,51.697815,3,54,107,0
1459,0x1000000000012,NewComm,battery 10%,-83.312614,51.784363,5,53,101,0
1460,0x100000000001e,NewComm,battery 5%,-83.32003,52.25125,10,53,101,0
1461,0x1000000000004,MyCellular,device error,-83.58187,52.035496,5,55,106,0
1462,0x100000000000f,NewComm,battery 5%,-83.57234,51.643852,2,54,103,0
1463,0x1000000000027,NewComm,battery 5%,-83.442215,52.08419,1,54,102,0
1464,0x1000000000009,NewComm,battery 10%,-83.11892,52.048786,3,53,103,0
1465,0x100000000000c,NewComm,battery 10%,-83.5878,51.76763,1,51,105,0
1466,0x1000000000026,TelecomWorld,device error,-83.21536,51.858395,6,55,103,0
